observation_date,State,Housing,Housing Values
01-07-2012,Florida,Total Personal income,786468.9
01-07-2012,NewYork,HPI,554.26
01-07-2012,NewYork,Housing Permits,2394
01-07-2012,NewYork,Total Personal income,1031417.7
01-07-2012,Texas,HPI,223.33
01-07-2012,Texas,Housing Permits,11221.464171544
01-07-2012,Texas,Total Personal income,1132864.8
01-10-2012,California,HPI,399.29
01-10-2012,California,Housing Permits,5281.888941932
01-10-2012,California,Total Personal income,1891845.4
01-10-2012,Florida,HPI,275.22
01-10-2012,Florida,Housing Permits,5512.025291418
01-10-2012,Florida,Total Personal income,818047.6
01-10-2012,NewYork,HPI,556.03
01-10-2012,NewYork,Housing Permits,2395
01-10-2012,NewYork,Total Personal income,1073401.8
01-10-2012,Texas,HPI,224.93
01-10-2012,Texas,Housing Permits,12133.704054855
01-10-2012,Texas,Total Personal income,1174295.5
01-01-2013,California,HPI,407.71
01-01-2013,California,Housing Permits,6694.365362943
01-01-2013,California,Total Personal income,1801626.6
01-01-2013,Florida,HPI,278.94
01-01-2013,Florida,Housing Permits,6153.45806796
01-01-2013,Florida,Total Personal income,784880
01-01-2013,NewYork,HPI,556.77
01-01-2013,NewYork,Housing Permits,2188
01-01-2013,NewYork,Total Personal income,1038161.3
01-01-2013,Texas,HPI,226.6
01-01-2013,Texas,Housing Permits,12290.373185591
01-01-2013,Texas,Total Personal income,1152225.2
01-04-2013,California,HPI,426.42
01-04-2013,California,Housing Permits,7152.171282621
